trial,value,lr,weight_decay,dropout,batch_size
0,0.1045,0.07857453789350499,0.0007582577206924893,0.4241541388102613,256
1,0.4385,0.00010865462283821821,8.893367434676651e-06,0.03535604057676972,64
2,0.2905,1.348750544873821e-05,0.00013634230386716588,0.006148771753862414,128
3,0.4065,8.525513673193665e-05,0.005228620025995209,0.04352874173528293,128
4,0.5044,0.00035749562330163886,6.655913407765546e-05,0.3503249266951515,64
5,0.4196,3.96899733436906e-05,6.672833985769722e-06,0.03386179154969576,32
6,0.3863,0.00011879202821756192,0.00013137043916214045,0.3072227058073261,256
7,0.3349,0.011170423467946342,0.0047476338150388596,0.1677912648924348,32
8,0.4272,4.566315288239435e-05,2.7359487403306402e-05,0.1366506089778371,32
9,0.5643,0.001013601266456614,0.000248045162060495,0.30339097494238687,32
10,0.5031,0.002474951254214758,1.9315007588930654e-06,0.4932976367515495,32
11,0.5404,0.0008454561048963079,0.00047046791983590186,0.3159305660287325,64
12,0.5419,0.00148196396692936,0.0004970568192626565,0.23196352343676047,64
13,0.4261,0.004547164787153225,0.0011742940998562153,0.22069834741901423,64
14,0.1,0.017079650949328336,0.00029853568999369364,0.23251564331773938,64
15,0.5185,0.00047560438627415694,0.0017214766611608544,0.3862823249891103,32
16,0.5293,0.0020232031493260094,4.1162298395078764e-05,0.1429094000989068,128
17,0.4598,0.008060866625019397,0.002303721382733027,0.2679218554860747,256
18,0.5586,0.00037648272690072546,0.00022011557567529002,0.18655505501205902,32
19,0.547,0.00035460289636663096,1.788743296551403e-05,0.17612565945849246,32
